packet_id,rater_id,item_id,rating_question,coarse_type,candidate_a,sentence_a,candidate_a_naturalness,candidate_a_type_fit,candidate_a_malformed,candidate_b,sentence_b,candidate_b_naturalness,candidate_b_type_fit,candidate_b_malformed,independence_attested
packet-c30c3000c5ab2648,rater-c,item-85d6e50da091661e,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Lilo & Stitch,The following entry has entity type 'creative work' and name: Lilo & Stitch.,5,5,false,Echo & Selora,The following entry has entity type 'creative work' and name: Echo & Selora.,4,4,false,true
packet-c30c3000c5ab2648,rater-c,item-d4da45a6b4f2ca6f,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Crystal in Selora,The following entry has entity type 'creative work' and name: Crystal in Selora.,4,4,false,Quantum of Solace,The following entry has entity type 'creative work' and name: Quantum of Solace.,5,5,false,true
packet-c30c3000c5ab2648,rater-c,item-8c557be35ccede1b,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Back to the Future,The following entry has entity type 'creative work' and name: Back to the Future.,4,4,false,Song an the Broken,The following entry has entity type 'creative work' and name: Song an the Broken.,5,5,false,true
packet-c30c3000c5ab2648,rater-c,item-0d10e4d3dddb390e,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Julian Harlan,The following entry has entity type 'person' and name: Julian Harlan.,4,5,false,Isaac Newton,The following entry has entity type 'person' and name: Isaac Newton.,5,5,false,true
packet-c30c3000c5ab2648,rater-c,item-eee7cb93e86a5fee,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Spider-Man,The following entry has entity type 'creative work' and name: Spider-Man.,5,5,false,Shadow-Sky,The following entry has entity type 'creative work' and name: Shadow-Sky.,4,4,false,true
packet-c30c3000c5ab2648,rater-c,item-0afe9f61d23fee10,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Julian Emilia,The following entry has entity type 'person' and name: Julian Emilia.,4,5,false,Marcel Proust,The following entry has entity type 'person' and name: Marcel Proust.,5,5,false,true
packet-c30c3000c5ab2648,rater-c,item-feb5be9161d61283,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Samsung Group,The following entry has entity type 'organization' and name: Samsung Group.,5,5,false,Network World,The following entry has entity type 'organization' and name: Network World.,5,5,false,true
packet-c30c3000c5ab2648,rater-c,item-b3d48a9bc158db4c,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Institute R.O.,The following entry has entity type 'organization' and name: Institute R.O..,3,4,false,Liverpool F.C.,The following entry has entity type 'organization' and name: Liverpool F.C..,5,5,false,true
packet-c30c3000c5ab2648,rater-c,item-2c8d0c66706b3ca7,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Yevpatoriya,The following entry has entity type 'place' and name: Yevpatoriya.,4,4,false,Uhapifetolen,The following entry has entity type 'place' and name: Uhapifetolen.,5,5,false,true
packet-c30c3000c5ab2648,rater-c,item-09b29e429ac5b8a9,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Falling Echo,The following entry has entity type 'creative work' and name: Falling Echo.,4,4,false,Finding Nemo,The following entry has entity type 'creative work' and name: Finding Nemo.,5,5,false,true
