packet_id,rater_id,item_id,rating_question,coarse_type,candidate_a,sentence_a,candidate_a_naturalness,candidate_a_type_fit,candidate_a_malformed,candidate_b,sentence_b,candidate_b_naturalness,candidate_b_type_fit,candidate_b_malformed,independence_attested
packet-fa72ce908ab5b5e4,rater-a,item-ccf4df2cb000532d,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Union Forum O.U.,The following entry has entity type 'organization' and name: Union Forum O.U..,3,4,false,Aston Villa F.C.,The following entry has entity type 'organization' and name: Aston Villa F.C..,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-b51c28e2f4edd665,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Dr. No,The following entry has entity type 'creative work' and name: Dr. No.,5,5,false,Pe. Am,The following entry has entity type 'creative work' and name: Pe. Am.,1,2,true,true
packet-fa72ce908ab5b5e4,rater-a,item-4f4b7de92a878443,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,SONG-E,The following entry has entity type 'creative work' and name: SONG-E.,3,4,false,WALL-E,The following entry has entity type 'creative work' and name: WALL-E.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-a8dbf635c4e290a8,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Oscar Thea,The following entry has entity type 'person' and name: Oscar Thea.,4,5,false,Marco Polo,The following entry has entity type 'person' and name: Marco Polo.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-e2e920ff77077fef,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Diranumuveg,The following entry has entity type 'place' and name: Diranumuveg.,2,3,false,Makhachkala,The following entry has entity type 'place' and name: Makhachkala.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-f70d413f5f17f4fc,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Network Institute Forum,The following entry has entity type 'organization' and name: Network Institute Forum.,3,4,false,European Space Agency,The following entry has entity type 'organization' and name: European Space Agency.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-d38f852aba8f9235,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Linden Aster,The following entry has entity type 'place' and name: Linden Aster.,3,3,false,Santa Barbara,The following entry has entity type 'place' and name: Santa Barbara.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-acd6b0293f165345,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,George H. W. Bush,The following entry has entity type 'person' and name: George H. W. Bush.,5,5,false,Vernon J. U. Mira,The following entry has entity type 'person' and name: Vernon J. U. Mira.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-4ac99b779cf442ea,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Mao Zedong,The following entry has entity type 'person' and name: Mao Zedong.,5,5,false,Goz Sutton,The following entry has entity type 'person' and name: Goz Sutton.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-b29443044f1bc2d7,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Harbor Port,The following entry has entity type 'place' and name: Harbor Port.,3,4,false,Gold Coast,The following entry has entity type 'place' and name: Gold Coast.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-0441f3d223c753e1,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Samsung Group,The following entry has entity type 'organization' and name: Samsung Group.,5,5,false,Network World,The following entry has entity type 'organization' and name: Network World.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-131666b3068b29c0,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Alden Mercer,The following entry has entity type 'person' and name: Alden Mercer.,4,5,false,Corbin Bleu,The following entry has entity type 'person' and name: Corbin Bleu.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-3c63fa05d6077f63,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Republican Party,The following entry has entity type 'organization' and name: Republican Party.,5,5,false,Federation World,The following entry has entity type 'organization' and name: Federation World.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-d357819da0de036a,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Lilo & Stitch,The following entry has entity type 'creative work' and name: Lilo & Stitch.,5,5,false,Echo & Selora,The following entry has entity type 'creative work' and name: Echo & Selora.,4,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-9a2ec7e97853f424,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Abu Dhabi,The following entry has entity type 'place' and name: Abu Dhabi.,5,5,false,Valley Port,The following entry has entity type 'place' and name: Valley Port.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-cea22a318bb829f6,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Alden Amelia,The following entry has entity type 'person' and name: Alden Amelia.,3,4,false,Woodrow Wilson,The following entry has entity type 'person' and name: Woodrow Wilson.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-e11bf0775f002d71,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Boston,The following entry has entity type 'place' and name: Boston.,5,5,false,Willow,The following entry has entity type 'place' and name: Willow.,4,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-d2be82d1715e50a8,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Era Port,The following entry has entity type 'place' and name: Era Port.,3,4,false,El Paso,The following entry has entity type 'place' and name: El Paso.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-6609576079dcff94,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Leonhard Euler,The following entry has entity type 'person' and name: Leonhard Euler.,5,5,false,Uliteger Alina,The following entry has entity type 'person' and name: Uliteger Alina.,2,3,false,true
packet-fa72ce908ab5b5e4,rater-a,item-e2970e39187ae51a,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Global Alliance Alliance,The following entry has entity type 'organization' and name: Global Alliance Alliance.,2,3,true,Indian National Congress,The following entry has entity type 'organization' and name: Indian National Congress.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-684921145e3590b0,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,San Antonio,The following entry has entity type 'place' and name: San Antonio.,5,5,false,Willow Port,The following entry has entity type 'place' and name: Willow Port.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-f40360e3d06d6ef6,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Leo Tolstoy,The following entry has entity type 'person' and name: Leo Tolstoy.,5,5,false,On Bennett,The following entry has entity type 'person' and name: On Bennett.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-28e85808e13bd6bd,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Dunwich to Ehe,The following entry has entity type 'place' and name: Dunwich to Ehe.,1,2,true,Braunau am Inn,The following entry has entity type 'place' and name: Braunau am Inn.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-2333211373cd2b22,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Nolan Celia,The following entry has entity type 'person' and name: Nolan Celia.,3,4,false,Jules Verne,The following entry has entity type 'person' and name: Jules Verne.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-c6f08f83e81b57b3,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Russian Orthodox Church,The following entry has entity type 'organization' and name: Russian Orthodox Church.,5,5,false,Council Institute Union,The following entry has entity type 'organization' and name: Council Institute Union.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-ba5e795f62c440e5,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Selena,The following entry has entity type 'person' and name: Selena.,5,5,false,Virgil,The following entry has entity type 'person' and name: Virgil.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-814eea1332a70a26,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Lirinudonin,The following entry has entity type 'place' and name: Lirinudonin.,2,3,false,Ulaanbaatar,The following entry has entity type 'place' and name: Ulaanbaatar.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-ccfefb14be4355fa,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,University of Bologna,The following entry has entity type 'organization' and name: University of Bologna.,5,5,false,Laboratory as Council,The following entry has entity type 'organization' and name: Laboratory as Council.,1,2,true,true
packet-fa72ce908ab5b5e4,rater-a,item-9d228d0081cfe243,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Afyonkarahisar,The following entry has entity type 'place' and name: Afyonkarahisar.,5,5,false,Iditobapatoli,The following entry has entity type 'place' and name: Iditobapatoli.,2,3,false,true
packet-fa72ce908ab5b5e4,rater-a,item-ff5b70b56efd8051,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Bob Dylan,The following entry has entity type 'person' and name: Bob Dylan.,5,5,false,Mira Alina,The following entry has entity type 'person' and name: Mira Alina.,3,4,false,true
packet-fa72ce908ab5b5e4,rater-a,item-cded9c32d2d962f7,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Sky Midnight River,The following entry has entity type 'creative work' and name: Sky Midnight River.,3,4,false,The Simpsons Movie,The following entry has entity type 'creative work' and name: The Simpsons Movie.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-10b2f045d029a47e,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Some Like It Hot,The following entry has entity type 'creative work' and name: Some Like It Hot.,5,5,false,Last Song Jo Sky,The following entry has entity type 'creative work' and name: Last Song Jo Sky.,2,3,true,true
packet-fa72ce908ab5b5e4,rater-a,item-48fb953e403d746c,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Katsushika Hokusai,The following entry has entity type 'person' and name: Katsushika Hokusai.,5,5,false,Asogejituw Bennett,The following entry has entity type 'person' and name: Asogejituw Bennett.,2,3,false,true
packet-fa72ce908ab5b5e4,rater-a,item-c0112de9bbc5b497,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Harbor West,The following entry has entity type 'place' and name: Harbor West.,3,4,false,Mexico City,The following entry has entity type 'place' and name: Mexico City.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-0cfce572eace0975,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Asia-Pacific Economic Cooperation,The following entry has entity type 'organization' and name: Asia-Pacific Economic Cooperation.,5,5,false,Gele-Council Alliance Association,The following entry has entity type 'organization' and name: Gele-Council Alliance Association.,2,3,false,true
packet-fa72ce908ab5b5e4,rater-a,item-fc630bc39624b938,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Felix Moyenicos,The following entry has entity type 'person' and name: Felix Moyenicos.,3,4,false,Sarah Bernhardt,The following entry has entity type 'person' and name: Sarah Bernhardt.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-6eea51329cdbfc88,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Khmelnytskyi,The following entry has entity type 'place' and name: Khmelnytskyi.,5,5,false,Bohapadikidu,The following entry has entity type 'place' and name: Bohapadikidu.,2,3,false,true
packet-fa72ce908ab5b5e4,rater-a,item-22e581d7188a6694,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,International Alliance Forum,The following entry has entity type 'organization' and name: International Alliance Forum.,4,5,false,Asian Football Confederation,The following entry has entity type 'organization' and name: Asian Football Confederation.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-c49eca5f077ab521,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,RID,The following entry has entity type 'organization' and name: RID.,3,4,false,IBM,The following entry has entity type 'organization' and name: IBM.,5,5,false,true
packet-fa72ce908ab5b5e4,rater-a,item-6169944174de922e,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,John Lennon,The following entry has entity type 'person' and name: John Lennon.,5,5,false,Nadia Jonas,The following entry has entity type 'person' and name: Nadia Jonas.,4,5,false,true
