packet_id,rater_id,item_id,rating_question,coarse_type,candidate_a,sentence_a,candidate_a_naturalness,candidate_a_type_fit,candidate_a_malformed,candidate_b,sentence_b,candidate_b_naturalness,candidate_b_type_fit,candidate_b_malformed,independence_attested
packet-620741f0e45e8980,rater-b,item-a5f6fa7fb68520b4,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Marco Polo,The following entry has entity type 'person' and name: Marco Polo.,5,5,false,Oscar Thea,The following entry has entity type 'person' and name: Oscar Thea.,2,3,false,true
packet-620741f0e45e8980,rater-b,item-ee8a2018060a74e8,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Bik as Willow,The following entry has entity type 'place' and name: Bik as Willow.,1,2,true,Dar es Salaam,The following entry has entity type 'place' and name: Dar es Salaam.,5,5,false,true
packet-620741f0e45e8980,rater-b,item-d5f00146cec161dc,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Sky Distant Harbor-Sky,The following entry has entity type 'creative work' and name: Sky Distant Harbor-Sky.,2,3,false,The Amazing Spider-Man,The following entry has entity type 'creative work' and name: The Amazing Spider-Man.,5,5,false,true
packet-620741f0e45e8980,rater-b,item-2249be3e5846ed62,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,Winter Golden,The following entry has entity type 'creative work' and name: Winter Golden.,2,3,false,Taxi Driver,The following entry has entity type 'creative work' and name: Taxi Driver.,5,5,false,true
packet-620741f0e45e8980,rater-b,item-99b4a4a315b6c40b,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",person,Julian Ellison Thea,The following entry has entity type 'person' and name: Julian Ellison Thea.,2,3,false,Peter Paul Rubens,The following entry has entity type 'person' and name: Peter Paul Rubens.,5,5,false,true
packet-620741f0e45e8980,rater-b,item-86bde9d7b2059cb9,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Charlotte Amalie,The following entry has entity type 'place' and name: Charlotte Amalie.,5,5,false,North Oakridge,The following entry has entity type 'place' and name: North Oakridge.,2,3,false,true
packet-620741f0e45e8980,rater-b,item-f7648db2eeb4513a,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,Adidas AG,The following entry has entity type 'organization' and name: Adidas AG.,5,5,false,Research UN,The following entry has entity type 'organization' and name: Research UN.,2,3,false,true
packet-620741f0e45e8980,rater-b,item-1617785d0b0dd616,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,NONE,The following entry has entity type 'organization' and name: NONE.,1,2,false,CNN,The following entry has entity type 'organization' and name: CNN.,5,5,false,true
packet-620741f0e45e8980,rater-b,item-9b7e116e2c9f6f0c,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",organization,International Atomic Energy Agency,The following entry has entity type 'organization' and name: International Atomic Energy Agency.,5,5,false,International Center Agency Center,The following entry has entity type 'organization' and name: International Center Agency Center.,2,3,false,true
packet-620741f0e45e8980,rater-b,item-ef0ef32083a4d646,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Willow Port,The following entry has entity type 'place' and name: Willow Port.,2,3,false,San Antonio,The following entry has entity type 'place' and name: San Antonio.,5,5,false,true
packet-620741f0e45e8980,rater-b,item-4cf4f3164be86d5f,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",place,Natal,The following entry has entity type 'place' and name: Natal.,5,5,false,South,The following entry has entity type 'place' and name: South.,2,3,false,true
packet-620741f0e45e8980,rater-b,item-75e65559f38a5cc2,"Rate candidates A and B: naturalness 1-5, type fit 1-5, and malformed true/false.",creative_work,The Social Network,The following entry has entity type 'creative work' and name: The Social Network.,5,5,false,Shadow Crystal Dawn,The following entry has entity type 'creative work' and name: Shadow Crystal Dawn.,2,3,false,true
